UID          PID    PPID  C STIME TTY          TIME CMD
root          92       2  0 02:56 ?        00:00:00 [irq/46-pciehp]
root          93       2  0 02:56 ?        00:00:00 [irq/47-pciehp]
root          94       2  0 02:56 ?        00:00:00 [irq/48-pciehp]
root          95       2  0 02:56 ?        00:00:00 [irq/49-pciehp]
root          96       2  0 02:56 ?        00:00:00 [irq/50-pciehp]
root          97       2  0 02:56 ?        00:00:00 [irq/51-pciehp]
root          98       2  0 02:56 ?        00:00:00 [irq/52-pciehp]
root          99       2  0 02:56 ?        00:00:00 [irq/53-pciehp]
root         100       2  0 02:56 ?        00:00:00 [irq/54-pciehp]
root         101       2  0 02:56 ?        00:00:00 [irq/55-pciehp]
root         102       2  0 02:56 ?        00:00:00 [acpi_thermal_pm]
root         103       2  0 02:56 ?        00:00:00 [xenbus_probe]
root         104       2  0 02:56 ?        00:00:00 [mld]
root         105       2  0 02:56 ?        00:00:00 [ipv6_addrconf]
root         106       2  0 02:56 ?        00:00:00 [kworker/1:1H-kblockd]
root         111       2  0 02:56 ?        00:00:00 [kstrp]
root         116       2  0 02:56 ?        00:00:00 [zswap-shrink]
root         117       2  0 02:56 ?        00:00:00 [kworker/u65:0-hci0]
root         179       2  0 02:56 ?        00:00:00 [kworker/3:1H-kblockd]
root         183       2  0 02:56 ?        00:00:00 [kworker/2:1H-kblockd]
root         184       2  0 02:56 ?        00:00:00 [ata_sff]
root         185       2  0 02:56 ?        00:00:00 [mpt_poll_0]
root         186       2  0 02:56 ?        00:00:00 [mpt/0]
root         187       2  0 02:56 ?        00:00:00 [cryptd]
root         188       2  0 02:56 ?        00:00:00 [scsi_eh_0]
root         191       2  0 02:56 ?        00:00:00 [scsi_tmf_0]
root         192       2  0 02:56 ?        00:00:00 [scsi_eh_1]
root         193       2  0 02:56 ?        00:00:00 [scsi_tmf_1]
root         227       2  0 02:56 ?        00:00:00 [irq/16-vmwgfx]
root         228       2  0 02:56 ?        00:00:00 [ttm]
root         244       2  0 02:56 ?        00:00:00 [scsi_eh_2]
root         245       2  0 02:56 ?        00:00:00 [scsi_tmf_2]
root         247       2  0 02:56 ?        00:00:03 [kworker/0:3-events_power_efficient]
root         285       2  0 02:56 ?        00:00:00 [jbd2/sda1-8]
root         286       2  0 02:56 ?        00:00:00 [ext4-rsv-conver]
root         343       1  0 02:56 ?        00:00:00 /lib/systemd/systemd-journald
root         366       1  0 02:56 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         368       1  0 02:56 ?        00:00:00 /lib/systemd/systemd-udevd
root         375       2  0 02:56 ?        00:00:00 [kworker/u64:4-events_unbound]
root         381       2  0 02:56 ?        00:00:00 [psimon]
root         428       2  0 02:56 ?        00:00:00 [kworker/2:9-cgroup_destroy]
root         430       2  0 02:56 ?        00:00:00 [psimon]
root         489       2  0 02:56 ?        00:00:00 [kworker/3:2H-kblockd]
root         495       1  0 02:56 ?        00:00:00 /usr/sbin/haveged --Foreground --verbose=1
root         496       2  0 02:56 ?        00:00:00 [kworker/1:3-events]
message+     508       1  0 02:56 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      520       1  0 02:56 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root         524       1  0 02:56 ?        00:00:00 /lib/systemd/systemd-logind
root         525       1  0 02:56 ?        00:00:06 /usr/bin/vmtoolsd
root         537       2  0 02:56 ?        00:00:00 [irq/56-vmw_vmci]
root         538       2  0 02:56 ?        00:00:00 [irq/57-vmw_vmci]
root         541       2  0 02:56 ?        00:00:00 [rpciod]
root         542       2  0 02:56 ?        00:00:00 [xprtiod]
root         629       2  0 02:56 ?        00:00:00 [psimon]
root         652       1  0 02:56 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         678       1  0 02:56 ?        00:00:00 /usr/sbin/cron -f
root         726       1  0 02:56 ?        00:00:00 /usr/sbin/ModemManager
root         739       2  0 02:56 ?        00:00:00 [kworker/0:4-events]
root         740       2  0 02:56 ?        00:00:00 [kworker/u65:1-hci0]
root         899       1  0 02:56 ?        00:00:00 /usr/sbin/lightdm
root         992     899  0 02:56 tty7     00:00:11 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1019       1  0 02:56 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1077       2  0 02:56 ?        00:00:00 [psimon]
rtkit       1107       1  0 02:56 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1178     899  0 02:56 ?        00:00:00 lightdm --session-child 15 26
kali        1186       1  0 02:56 ?        00:00:00 /lib/systemd/systemd --user
kali        1187    1186  0 02:56 ?        00:00:00 (sd-pam)
root        1201       2  0 02:56 ?        00:00:00 [psimon]
kali        1203    1186  0 02:56 ?        00:00:00 /usr/bin/pipewire
kali        1204    1186  0 02:56 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
kali        1205    1186  0 02:56 ?        00:00:00 /usr/bin/wireplumber
kali        1206    1186  0 02:56 ?        00:00:00 /usr/bin/pipewire-pulse
kali        1208    1186  0 02:56 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kali        1209    1186  0 02:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
kali        1236    1178  0 02:56 ?        00:00:00 xfce4-session
kali        1280    1236  0 02:56 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
kali        1290    1186  0 02:56 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
kali        1297    1290  0 02:56 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kali        1309    1186  0 02:56 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1321    1186  0 02:56 ?        00:00:00 /usr/bin/gpg-agent --supervised
kali        1323    1236  0 02:56 ?        00:00:05 xfwm4
kali        1327    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfsd
kali        1333    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
kali        1357    1236  0 02:56 ?        00:00:00 xfsettingsd
root        1361       1  0 02:56 ?        00:00:00 /usr/libexec/upowerd
kali        1367    1236  0 02:56 ?        00:00:00 xfce4-panel
kali        1372    1236  0 02:56 ?        00:00:00 Thunar --daemon
kali        1378    1236  0 02:56 ?        00:00:00 xfdesktop
kali        1379    1367  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
kali        1386    1367  0 02:56 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
kali        1387    1367  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
kali        1388    1367  0 02:56 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
kali        1389    1367  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
kali        1390    1367  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
kali        1391    1367  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
kali        1392    1367  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
kali        1431    1186  0 02:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1462    1236  0 02:56 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
kali        1463    1236  0 02:56 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
kali        1465    1236  0 02:56 ?        00:00:00 xfce4-power-manager
kali        1466    1236  0 02:56 ?        00:00:00 xiccd
kali        1476       1  0 02:56 ?        00:00:07 /usr/bin/vmtoolsd -n vmusr --blockFd 3
kali        1488       1  0 02:56 ?        00:00:00 xcape -e Super_L Control_L Escape
kali        1494    1236  0 02:56 ?        00:00:00 nm-applet
colord      1499       1  0 02:56 ?        00:00:00 /usr/libexec/colord
kali        1510    1236  0 02:56 ?        00:00:00 light-locker
kali        1515    1236  0 02:56 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
kali        1573    1186  0 02:56 ?        00:00:00 /usr/libexec/dconf-service
kali        1608    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1630       1  0 02:56 ?        00:00:00 /usr/libexec/udisks2/udisksd
kali        1657    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
kali        1664    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
kali        1672    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
kali        1685    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
kali        1703    1327  0 02:56 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
kali        1709    1186  0 02:56 ?        00:00:00 /usr/libexec/gvfsd-metadata
kali        1722    1186  0 02:56 ?        00:00:00 /usr/libexec/bluetooth/obexd
kali        2201       1  0 02:57 ?        00:00:02 /usr/bin/qterminal
kali        2204    2201  0 02:57 pts/0    00:00:01 /usr/bin/zsh
root        5247       2  0 03:03 ?        00:00:01 [kworker/2:0-events]
root        9246       2  0 03:11 ?        00:00:00 [kworker/3:2-cgroup_destroy]
root       12046       2  0 03:17 ?        00:00:00 [kworker/u64:1-flush-8:0]
root       17417       2  0 03:27 ?        00:00:00 [kworker/0:0-ata_sff]
kali       19535    1186  0 03:31 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       20194       2  0 03:32 ?        00:00:00 [kworker/0:1-ata_sff]
kali       21510    2204  0 03:35 pts/0    00:00:00 ps -ef
